time(UTC),T2m ,RH ,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,23.43,74.8,0.0,-0.0,0.0,385.05,2.62,321.0,101335.0
20080101:0100,22.72,78.63,0.0,-0.0,0.0,381.54,2.41,331.0,101384.0
20080101:0200,22.02,82.47,0.0,-0.0,0.0,378.03,2.19,350.0,101434.0
20080101:0300,21.32,86.3,0.0,-0.0,0.0,374.53,1.98,6.0,101484.0
20080101:0400,20.61,90.14,0.0,-0.0,0.0,371.02,1.77,358.0,101464.0
20080101:0500,19.91,93.97,0.0,-0.0,0.0,367.52,1.56,341.0,101444.0
20080101:0600,19.2,97.81,0.0,-0.0,0.0,364.01,1.35,335.0,101394.0
20080101:0700,18.5,100.0,0.0,-0.0,0.0,360.5,1.14,2.0,101375.0
20080101:0800,19.55,96.35,0.0,-0.0,0.0,370.6,1.52,353.0,101355.0
20080101:0900,19.83,93.8,0.0,-0.0,0.0,377.2,1.93,331.0,101384.0
20080101:1000,19.8,92.65,0.0,-0.0,0.0,371.6,2.21,324.0,101375.0
20080101:1100,19.67,92.6,0.0,-0.0,0.0,364.6,2.28,326.0,101434.0
20080101:1200,20.0,92.45,115.0,413.38,48.0,356.8,2.21,332.0,101504.0
20080101:1300,22.3,87.75,329.0,691.87,76.0,359.8,2.0,344.0,101564.0
20080101:1400,24.13,80.5,525.0,809.87,91.0,366.4,2.21,16.0,101604.0
20080101:1500,25.25,72.55,369.0,86.22,312.0,365.4,2.34,46.0,101594.0
20080101:1600,26.3,64.75,349.0,42.3,318.0,377.0,2.41,57.0,101554.0
20080101:1700,26.83,61.8,427.0,88.46,361.0,391.25,2.48,60.0,101444.0
20080101:1800,27.28,58.85,532.0,287.12,331.0,392.25,2.55,64.0,101325.0
20080101:1900,27.74,56.85,276.0,41.82,251.0,404.05,2.69,66.0,101275.0
20080101:2000,27.37,59.7,419.0,750.4,84.0,418.25,1.93,74.0,101225.0
20080101:2100,26.79,66.35,211.0,581.77,62.0,420.85,1.31,78.0,101245.0
20080101:2200,25.98,70.0,0.0,0.0,0.0,418.65,1.38,67.0,101275.0
20080101:2300,24.87,73.55,0.0,-0.0,0.0,397.65,1.72,47.0,101285.0
20080102:0000,24.13,76.0,0.0,-0.0,0.0,395.05,2.07,35.0,101355.0
20080102:0100,23.31,79.6,0.0,-0.0,0.0,383.45,2.14,25.0,101444.0
20080102:0200,22.67,83.05,0.0,-0.0,0.0,384.0,2.07,13.0,101494.0
20080102:0300,22.02,86.35,0.0,-0.0,0.0,378.2,1.93,360.0,101484.0
20080102:0400,21.34,89.25,0.0,-0.0,0.0,367.2,1.93,350.0,101464.0
20080102:0500,20.93,90.65,0.0,-0.0,0.0,366.4,2.0,345.0,101434.0
20080102:0600,20.59,91.7,0.0,-0.0,0.0,362.6,2.14,342.0,101365.0
20080102:0700,20.54,92.15,0.0,-0.0,0.0,357.2,2.48,342.0,101315.0
20080102:0800,20.39,92.7,0.0,-0.0,0.0,357.8,2.55,339.0,101295.0
20080102:0900,20.25,93.05,0.0,-0.0,0.0,357.6,2.62,338.0,101315.0
20080102:1000,20.19,93.05,0.0,-0.0,0.0,364.0,2.55,336.0,101345.0
20080102:1100,20.22,92.75,0.0,-0.0,0.0,375.0,2.34,335.0,101335.0
20080102:1200,20.61,91.45,117.0,428.33,48.0,378.8,2.21,334.0,101424.0
20080102:1300,22.32,85.75,336.0,712.29,76.0,391.4,2.07,340.0,101474.0
20080102:1400,23.8,78.85,539.0,834.53,92.0,367.6,2.21,25.0,101544.0
20080102:1500,25.16,71.15,693.0,895.21,101.0,369.0,2.21,40.0,101524.0
20080102:1600,25.84,65.9,525.0,216.78,366.0,376.0,2.0,43.0,101444.0
20080102:1700,26.7,61.25,802.0,930.15,107.0,368.2,1.86,48.0,101335.0
20080102:1800,27.37,57.7,746.0,915.09,104.0,359.6,1.86,57.0,101215.0
20080102:1900,27.74,55.75,621.0,873.78,97.0,361.8,2.07,57.0,101116.0
20080102:2000,27.42,56.45,440.0,791.5,85.0,367.0,1.86,64.0,101106.0
20080102:2100,26.77,61.75,225.0,627.12,63.0,363.6,1.38,74.0,101145.0
20080102:2200,25.43,72.3,0.0,0.0,0.0,356.4,1.1,77.0,101175.0
20080102:2300,24.08,75.4,0.0,-0.0,0.0,350.0,0.9,48.0,101195.0
20080103:0000,21.78,84.7,0.0,-0.0,0.0,347.2,1.59,18.0,101255.0
