time(UTC),T2m ,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,23.29,48.28,0.0,-0.0,0.0,25.63,6.46,102.0,101642.0
20060101:0100,23.41,56.03,0.0,-0.0,0.0,27.4,6.32,100.0,101662.0
20060101:0200,23.54,63.77,0.0,-0.0,0.0,29.17,6.19,105.0,101682.0
20060101:0300,23.66,71.52,0.0,-0.0,0.0,30.95,6.05,116.0,101702.0
20060101:0400,23.79,79.27,0.0,-0.0,0.0,32.72,5.92,127.0,101692.0
20060101:0500,23.91,87.01,0.0,-0.0,0.0,34.49,5.79,134.0,101652.0
20060101:0600,24.04,94.76,0.0,-0.0,0.0,36.27,5.65,138.0,101602.0
20060101:0700,24.17,100.0,0.0,-0.0,0.0,38.04,5.52,139.0,101592.0
20060101:0800,23.96,84.5,0.0,-0.0,0.0,2.6,6.41,139.0,101552.0
20060101:0900,23.96,84.55,0.0,-0.0,0.0,-1.35,6.41,138.0,101532.0
20060101:1000,24.14,84.0,0.0,-0.0,0.0,-5.0,6.21,139.0,101562.0
20060101:1100,24.07,84.25,0.0,-0.0,0.0,-3.2,6.14,139.0,101622.0
20060101:1200,24.08,84.0,0.0,-0.0,0.0,-3.2,5.86,139.0,101652.0
20060101:1300,24.09,83.85,82.0,166.47,56.0,3.6,5.93,139.0,101752.0
20060101:1400,24.08,84.0,193.0,138.85,145.0,-2.8,5.86,138.0,101812.0
20060101:1500,24.11,84.05,349.0,257.71,220.0,0.6,5.86,136.0,101882.0
20060101:1600,24.16,83.6,480.0,352.32,265.0,-2.0,5.79,136.0,101892.0
20060101:1700,24.17,83.4,588.0,518.54,242.0,-3.4,5.72,136.0,101822.0
20060101:1800,24.19,83.2,539.0,368.41,293.0,-2.0,5.66,135.0,101732.0
20060101:1900,24.2,83.0,602.0,807.67,108.0,0.75,5.52,133.0,101682.0
20060101:2000,24.21,82.85,476.0,749.83,99.0,-1.0,5.24,128.0,101632.0
20060101:2100,24.2,82.85,304.0,633.98,83.0,-7.2,5.03,123.0,101672.0
20060101:2200,24.12,83.85,115.0,407.35,50.0,-0.35,4.48,128.0,101722.0
